Household_income,Social-circle_income,Mean_population_income,Social-circle_inequality,Population_inequality,Fairness_satisfaction,Redistribution_support
60000,58560,63705,36.95440574,34.57193313,9,1
60000,36960,82485,25.58847403,34.54537189,5,4
60000,98460,63330,23.29829372,33.67408811,1,5
60000,62550,87975,18.8057554,23.55072464,4.5,3
60000,62145,48420,16.66159788,38.26022305,7,2.75
61000,55980,59895,33.95016077,35.14124718,3,4.25
62000,51975,53745,30.87301587,36.35193972,1.5,5
62000,46350,58500,14.76699029,32.63333333,5,3.25
63000,56625,59055,31.75231788,40.98475997,3.5,3.25
63000,62250,52935,13.58795181,32.49787475,4.5,3.5
63000,51750,17565,36.47826087,16.89069172,5,3.5
65000,48345,56325,11.76202296,41.70838881,5,3.5
65000,68715,59400,35.49203231,40.96212121,8,2.25
65000,72300,68625,10.0373444,15.64043716,4,3.5
65000,42000,66975,24.5,40.69764838,3.5,3.75
68000,58455,59400,26.64536823,29.63888889,5,3.5
70000,68325,78075,38.37211855,35.03073967,4,4.75
70000,77925,110715,20.07795958,28.08548977,5,4.25
70000,75300,66825,18.7250996,35.1301908,4,4
70000,71250,68775,12.90736842,33.6521265,7,2
71000,118635,61770,26.70438741,39.0781933,1,6
71000,68550,62850,14.30415755,28.08591885,5,3.5
72000,50850,58350,21.01769912,30.75578406,1,4.75
73000,61275,45180,19.22276622,33.83200531,3,2.5
73000,72060,67800,31.99625312,35.04424779,7,2.75
74000,50100,40095,21.86227545,36.3258511,5,1
74000,52125,61950,23.73381295,42.60774818,6,1.75
74000,45930,65505,20.40561724,40.43897412,3.5,4.25
75000,60000,44550,8.25,34.32323232,1,4.5
75000,50535,61950,20.98693974,33.00242131,1,4.75
75000,67215,64890,23.47667931,34.09246417,8,2
75000,52050,53595,36.85302594,31.99524209,3,5
75000,48150,67320,28.19314642,32.73262032,2,3.75
75000,34365,49620,28.27106067,40.68742443,4.5,5
75000,25560,30705,26.90140845,41.39081583,4.5,3
76000,61680,61920,28.25680934,37.93943798,2.5,5
76000,39000,60525,6.969230769,37.00247831,3.5,4.75
77000,73170,79020,14.85731857,24.21678056,5,2.5
78000,47070,73605,30.46335245,42.36743428,7.5,2
78000,107325,62670,11.89587701,35.41742461,3,4.75
78000,49500,49800,20.44242424,34.47590361,3,3.5
80000,51000,47235,23.12352941,28.64877739,3,3.25
80000,70875,68220,20.00952381,36.57739666,8.5,2.25
80000,22350,60150,22.60402685,30.68329177,6.5,3.5
80000,48000,52245,14.8125,25.71317829,2,4.25
80000,31995,57000,43.15002344,51.26052632,1,4.75
81000,52500,52665,42.88285714,49.37311307,6,2.75
82000,90270,61065,27.45829179,31.84696635,7,3.5
85000,79950,68925,49.97748593,48.97823721,4,2
85000,70725,68235,30.11770944,31.53550231,8,3
85000,95550,87600,12.57927786,24.57876712,9,1.25
85000,70200,69735,19.94444444,31.33469563,6.5,2.25
85000,49005,80055,33.090603,41.83380176,2.5,4
85000,60045,72375,24.33150137,41.09948187,5,1.75
86000,60870,86985,23.31789059,29.17140886,3,4.5
88100,56940,57195,24.88777661,30.65276685,4,3.25
89000,62055,50025,26.2985255,30.05847076,7,2.25
90000,36720,43875,41.02696078,42.61367521,6.5,2.5
90000,33420,50475,30.02872531,51.50817236,3,4.5
90000,90000,67275,9.5,34.5696767,5.5,3.25
90000,74445,62130,19.64920411,39.19410913,3,3.5
90000,59535,59415,10.2154195,40.71926281,4.5,2.25
90000,87750,65340,13.85128205,42.19559229,2,5
90000,67545,44040,23.21763269,28.42098093,3,4.5
90000,64515,67605,35.64729133,39.75748835,5,3.75
98000,64215,69795,21.02756365,38.69525038,3,3.25
100000,97365,60690,20.86257896,35.51260504,1,2
100000,57900,47295,34.62176166,41.31906121,1.5,4.75
100000,53175,51615,28.57686883,42.80703284,3,4.25
100000,52050,73080,28.74351585,30.57101806,3.5,4.25
100000,91350,73125,33.87520525,41.27487179,5,3
104000,110250,74760,13.96190476,30.59189406,5,3.75
109000,90000,40365,6.166666667,33.5039019,3,3.25
110000,36945,64620,27.90052781,30.79712163,5,4
110000,42090,48795,44.73770492,43.32892714,5,2.25
110000,90750,57225,17.50082645,30.54390564,2,4.5
110000,56250,61425,22.86666667,38.19413919,8.5,2.75
115000,53475,55125,38.45582048,33.94421769,2.5,4.5
120000,46665,54900,34.55448409,32.25409836,6,3.25
120000,78000,52755,12.49615385,28.33011089,3,4
125000,58200,76515,34.45876289,28.32562243,6.5,2
129000,76350,64320,28.35166994,37.16744403,7.5,1
129000,72000,65025,27.20833333,33.71741638,4.5,3.5
130000,38970,42120,37.87297921,41.15883191,2.5,4.25
130000,70920,77865,22.50296108,30.26950491,3,5
130000,62280,61740,41.02649326,39.65840622,2,5.5
130000,45000,38475,38.58333333,31.58089669,4,3.25
140000,65640,66315,39.94606947,26.05722687,3.5,3.75
150000,102000,52350,12.73529412,32.75644699,8,2
150000,48855,70065,36.29935523,36.34746307,5,3.25
159850,75600,98760,27.25992063,30.37818955,4.5,2.5
160000,92250,58950,18.2195122,44.30279898,3,4.25
164000,43485,85200,28.94963781,29.37323944,4.5,2.5
175000,86235,88545,23.4901722,21.41097747,4,4.5
180000,101250,71220,35.40740741,31.69418703,3,4.25
180000,22125,33840,43.14237288,45.71542553,1,6
185000,121800,78555,21.01970443,39.05232003,5,2
190000,126525,78915,22.3526971,32.13628588,8,1.5
200000,51660,69360,33.36817654,34.47448097,1,5
200000,86295,65340,22.5498001,31.59412305,3,3.25
200000,131550,60990,6.418472064,31.23807182,3,3.25
240000,148500,71250,17.55555556,35.67789474,5,2.75
275000,113175,83250,12.58383035,29.71171171,4.5,3.25
350000,139050,57390,22.71952535,32.75326712,3,3.25
,91500,41895,8.557377049,42.5273899,1.5,4.75
,24855,17670,20.92757996,25.55517827,5,3.5
,65700,49695,34.83105023,36.68548144,3,4
